id,group,routeId,locationId,actorKey,actionId,variant,order,speakerIdentity,speakerName,portraitKey,portraitPlacement,narrationName,text,sceneHint,notes
"map.guide.line1","map-guide","","","jiaojiao","guide","line1","1","贴身宫女","娇娇","jiaojiao","stage","宫道","主子先记着，宫中大事多半都要从地图上走。养心殿与宝华殿最常去，若有宫务、朝堂、祈福与偶遇，也多从这里起头。","","地图引导"
"map.guide.line2","map-guide","","","jiaojiao","guide","line2","2","贴身宫女","娇娇","jiaojiao","stage","宫道","左侧四个圆形是常驻入口，能随时查看妃嫔、自己与纪事，也能在宫道和寝殿之间往返。等主子认过这些地方，咱们便回寝殿安排行程。","","地图引导"
"map.transition.enter-map","map-transition","","","jiaojiao","enter-map","","1","贴身宫女","娇娇","jiaojiao","stage","宫道","从{{fromResidence}}出殿时，廊下宫人纷纷避让。娇娇替你拢好披风，低声提醒：宫中各处都在眼前，只看主子今日想往哪里去。","","从寝殿进入地图"
"map.transition.inspect-location.with-description","map-transition","","{{locationName}}","","inspect-location","with-description","2","场景旁白","{{locationName}}","","","{{locationName}}","{{locationName}}近在眼前，{{locationDescription}}","","查看地图地点"
"map.transition.inspect-location.default","map-transition","","{{locationName}}","","inspect-location","default","3","场景旁白","{{locationName}}","","","{{locationName}}","{{locationName}}近在眼前，宫道上的声息也随之变得分明。","","查看地图地点"
"map.transition.enter-location","map-transition","","{{locationName}}","jiaojiao","enter-location","","4","贴身宫女","娇娇","jiaojiao","stage","{{locationName}}","行至{{locationName}}前，娇娇先一步打点通传。门内光影一换，{{locationName}}的场景已在眼前铺开。","","进入小场景"
"map.transition.return-chamber.from-location","map-transition","","{{fromLocation}}","jiaojiao","return-chamber","from-location","5","贴身宫女","娇娇","jiaojiao","stage","{{residenceName}}","从{{fromLocation}}折返时天色已沉，你扶着娇娇的手回到{{residenceName}}，殿内茶炉还温着。","","从地点回宫"
"map.transition.return-chamber.default","map-transition","","","jiaojiao","return-chamber","default","6","贴身宫女","娇娇","jiaojiao","stage","{{residenceName}}","宫道绕过一重影壁，你扶着娇娇的手回到{{residenceName}}，殿内茶炉还温着。","","从地图回宫"
"chamber.action.study","chamber-action","","","player","study","","1","场景旁白","{{residenceName}}","","","{{residenceName}}","{{residenceName}}窗下灯影微明，{{playerName}}翻开案头旧卷，把今日要记的句读一一圈定。{{timeLabel}}，{{actionLabel}}告一段落，{{actionSummary}}。","","寝殿日常行动"
"chamber.action.painting","chamber-action","","","player","painting","","2","场景旁白","{{residenceName}}","","","{{residenceName}}","{{residenceName}}里新磨的墨尚带清香，{{playerName}}拂开宣纸，提笔试水，砚边墨色渐浓，顺势做了一回{{actionLabel}}。{{timeLabel}}，{{actionLabel}}告一段落，{{actionSummary}}。","","寝殿日常行动"
"chamber.action.music","chamber-action","","","player","music","","3","场景旁白","{{residenceName}}","","","{{residenceName}}","{{residenceName}}内琴弦轻响，{{playerName}}按着旧谱反复校音，半晌才让曲意稳住。{{timeLabel}}，{{actionLabel}}告一段落，{{actionSummary}}。","","寝殿日常行动"
"chamber.action.embroidery","chamber-action","","","player","embroidery","","4","场景旁白","{{residenceName}}","","","{{residenceName}}","{{residenceName}}的绣架被移到光亮处，{{playerName}}拈针理线，将一段花样慢慢补齐。{{timeLabel}}，{{actionLabel}}告一段落，{{actionSummary}}。","","寝殿日常行动"
"chamber.action.incense","chamber-action","","","player","incense","","5","场景旁白","{{residenceName}}","","","{{residenceName}}","{{residenceName}}内香材分列小案，{{playerName}}以银匙取粉，缓缓调入蜜水，等炉中第一缕烟气稳住，才合上香盒。{{timeLabel}}，{{actionLabel}}告一段落，{{actionSummary}}。","","寝殿日常行动"
"chamber.action.rest","chamber-action","","","jiaojiao","rest","","5","贴身宫女","娇娇","jiaojiao","stage","{{residenceName}}","{{residenceName}}帘影低垂，娇娇替你撤下闲人，只留一盏温茶在榻边。{{timeLabel}}，{{actionLabel}}告一段落，{{actionSummary}}。","","寝殿日常行动"
