tableType,level,rankName,requiredPrestige,colorId
normal,1,皇后,2500,legendary
normal,2,贵妃,2100,legendary
normal,3,德妃 / 淑妃 / 贤妃,1800,epic
normal,4,妃,1500,epic
normal,5,昭仪 / 昭容 / 昭媛 / 修仪 / 修容 / 修媛 / 充仪 / 充容 / 充媛,1300,epic
normal,6,贵嫔,1100,epic
normal,7,婕妤,900,rare
normal,8,容华,750,rare
normal,9,嫔,600,rare
normal,10,贵人,450,rare
normal,11,美人,350,common
normal,12,才人,250,common
normal,13,常在,200,common
normal,14,御女,150,common
normal,15,选侍,100,common
normal,16,答应,60,neutral
normal,17,更衣,30,neutral
normal,18,官女子,0,neutral
special,0,皇贵妃,2400,legendary
