id,group,routeId,locationId,actorKey,actionId,variant,order,speakerIdentity,speakerName,portraitKey,portraitPlacement,narrationName,text,sceneHint,notes
"consort.audience.gift","consort-audience","","","consort","gift","","1","{{speakerIdentity}}","{{actorName}}","consort","stage","{{residenceName}}","{{speakerLead}} {{actorName}}接过{{itemName}}时，眼尾先轻轻一动，随后才按住情绪向你行礼：“娘娘这份心，妾记下了。只是宫里人情最难还，妾不敢轻慢。”","{{itemName}}已送出，接下来可顺势探她心意，或只把场面留在礼数之内。","妃嫔会面 本地剧情"
"consort.audience.return-earring","consort-audience","","","consort","return-earring","","1","{{speakerIdentity}}","{{actorName}}","consort","stage","{{residenceName}}","{{targetName}}看清你递来的{{itemName}}，先是怔了一下，随即把它拢进掌心：“原来落在了娘娘这里。妾找了许久，险些以为再也寻不回来了。” 她停了停，又低声道：“这不是多贵重的东西，只是旧人留下的念想。娘娘肯归还，妾记您的情。”","","妃嫔会面 耳坠归还彩蛋"
"consort.audience.greet","consort-audience","","","consort","greet","","2","{{speakerIdentity}}","{{actorName}}","consort","stage","{{residenceName}}","{{speakerLead}} {{actorName}}先向你敛衽请安，低声道：“娘娘今日肯亲来{{visitPlace}}，妾自当好生应答。”","先从寒暄切入，对方的防备最容易在这种时候露出端倪。","妃嫔会面 本地剧情"
"consort.audience.quarrel","consort-audience","","","consort","quarrel","","3","{{speakerIdentity}}","{{actorName}}","consort","stage","{{residenceName}}","{{speakerLead}} 你话锋略重，她也不再一味退让，只把袖口压稳了些：“娘娘若只是来问罪，妾自然不敢顶撞；可若要把话说透，妾也未必全无分寸。”","口角已经起了火气，后续一句话就可能把关系推得更冷，或硬生生拉回来。","妃嫔会面 本地剧情"
"consort.audience.punish","consort-audience","","","consort","punish","","4","{{speakerIdentity}}","{{actorName}}","consort","stage","{{residenceName}}","{{speakerLead}} {{actorName}}被你压住声势后，仍强撑着把礼数做足：“规矩既是娘娘定下的，妾自会领罚。只是这笔账，妾也会记得是谁在此刻落了锤。”","责罚已落地，对方表面不敢违逆，心里却未必肯就此服气。","妃嫔会面 本地剧情"
"consort.audience.win-over.success","consort-audience","","","consort","win-over","success","5","{{speakerIdentity}}","{{actorName}}","consort","stage","{{residenceName}}","{{speakerLead}} 她抬眼看了你一瞬，终究还是把那点戒心收了回去：“若娘娘当真肯把妾当自己人，妾也愿把这一份情记在心上。”","拉拢的结果已经摆在面前，接下来更适合顺着她的心门试探，而不是再硬逼一步。","妃嫔会面 本地剧情"
"consort.audience.win-over.fail","consort-audience","","","consort","win-over","fail","6","{{speakerIdentity}}","{{actorName}}","consort","stage","{{residenceName}}","{{speakerLead}} 她静了静，终究还是避开了你的目光：“娘娘的好意，妾不敢领。眼下彼此都还看不透，再近一步，只怕更难收场。”","拉拢的结果已经摆在面前，接下来更适合顺着她的心门试探，而不是再硬逼一步。","妃嫔会面 本地剧情"
"consort.audience.win-over.neutral","consort-audience","","","consort","win-over","neutral","7","{{speakerIdentity}}","{{actorName}}","consort","stage","{{residenceName}}","{{speakerLead}} 她没有立刻应下，只轻声道：“娘娘若真想结个善缘，妾也愿慢慢看着。只是宫里话说得太满，反而伤人。”","拉拢的结果已经摆在面前，接下来更适合顺着她的心门试探，而不是再硬逼一步。","妃嫔会面 本地剧情"
"consort.audience.smear","consort-audience","","","consort","smear","","8","{{speakerIdentity}}","{{actorName}}","consort","stage","{{residenceName}}","{{speakerLead}} 你把话头引到{{targetName}}身上时，她指尖明显顿了一顿，随即压低了声线：“宫里流言最会要命。娘娘既肯提这一句，妾自会记着，只是往后还得细看真假。”","{{targetName}}已经被你带进这场谈话，对方是否真肯站到你这边，还得看后续这几句怎么说。","妃嫔会面 本地剧情"
"consort.audience.farewell","consort-audience","","","consort","farewell","","9","{{speakerIdentity}}","{{actorName}}","consort","stage","{{residenceName}}","{{speakerLead}} {{actorName}}闻言便把手中衣袖理平，向你低身一礼：“娘娘既要先行告退，妾不敢多留。今日这一席话，妾会记在心上。”","道别已经说出口，这一轮妃嫔对话可以收束离开。","妃嫔会面 本地剧情"
"consort.audience.visit","consort-audience","","","consort","visit","","10","{{speakerIdentity}}","{{actorName}}","consort","stage","{{residenceName}}","{{visitOpening}}{{speakerLead}} {{actorName}}在殿中迎了你一礼，目光却没有立刻垂下：“娘娘今日亲来，想必不是只为看一眼宫灯与茶案。妾听着，娘娘尽可以开口。”","先看她肯不肯把话摊开，再决定是示好、试探还是压她一头。","妃嫔会面 本地剧情"
"consort.audience.follow-up","consort-audience","","","consort","follow-up","","11","{{speakerIdentity}}","{{actorName}}","consort","stage","{{residenceName}}","{{speakerLead}} {{actorName}}把你这句“{{optionLabel}}”听了进去，指尖轻轻压平袖口，才低声道：“娘娘既把话说到这里，妾自然会记着。今日这一轮，便先收在这里。”","这一轮回应已经收束，可以离开她的寝殿了。","妃嫔会面 本地剧情"
