routeId,portraitId,name,rankLabel,posthumousTitle,status,residence,stateLabel,age,familyBackground,personality,summary,prestige,favor,familyInfluence,health,appearance,relationToPlayer,childrenCount,ambition,stress,intrigue,temperament,affection,fortune
lanyinxuguo,姚铃儿,姚铃儿,贵妃,,live,长春宫主殿,寻常,19,三品文官嫡女,"骄矜、好胜、重脸面、嫉妒、权位",贵妃，十九岁，三品文官嫡女，得宠而高傲，极重体面。她与皇帝有旧情，前期把后宫权位看得极重，中后期也可能因敬重或利益而重整立场。,2180,72,86,720,860,0,1,48,32,780,780,0,8
lanyinxuguo,江晚晚,江晚晚,淑妃,,live,钟粹宫主殿,寻常,22,四品文官庶女,"清醒、克制、守密、温柔、敏锐",淑妃，二十二岁，四品文官庶女，端方从容，知礼寡言。她早已看透帝王与宫闱本质，擅守秘密，也最难被寻常示好撬开真心。,1860,48,70,690,760,0,0,22,18,860,880,0,16
lanyinxuguo,柳仪芳,柳仪芳,美人,,live,延禧宫东偏殿,寻常,18,商贾之女,"温顺、钦慕、主动、体贴、敏感",美人，十八岁，商贾之女，表面安静知趣。她对情感与自我认同都格外敏感，常把温顺与体贴藏在最细微的照拂里。,390,56,42,640,830,0,0,14,24,520,690,0,12
fushengrumeng,年欣兰,年欣兰,妃,,live,启祥宫主殿,寻常,20,四品武将嫡女,"傲娇、嘴硬、嫉妒、试探、不服软",妃位，二十岁，四品武将嫡女，最爱拿规矩压人，看似总在挑刺，实则把旧友、脸面与不肯认输都压在心口。,1580,49,74,730,780,0,0,24,20,610,760,0,10
fushengrumeng,沈妙清,沈妙清,常在,,live,储秀宫东偏殿,寻常,15,六品武将嫡女,"清冷、护短、跟随、寡言、认死理",常在，十五岁，六品武将嫡女，表面安静冷淡，骨子里却极护短。她入宫后的许多选择都系在旧情旧义上，也最容易在风浪里同人并肩。,215,22,58,710,700,0,0,6,14,430,750,0,20
yingluoyeting,陈婉宁,陈婉宁,妃,,live,昭阳宫主殿,寻常,20,二品文官庶女,"端方、克制、温柔、封口、动摇",妃位，二十岁，二品文官庶女，说话得体，也最懂分寸。她知晓旧案与旧债，却总把真正的摇摆、心软与背离都藏在温柔之后。,1680,58,78,760,810,0,0,46,22,900,840,0,6
chenyuansucuo,裴静姝,杜云嫣,贵嫔,,live,永和宫主殿,寻常,19,江南名门嫡女,"娇气、病弱、依赖、体贴、成全",贵嫔，十九岁，江南名门嫡女，娇气怕苦，也最怕冷。她身体一向不好，因此格外贪恋陪伴，最终却往往把不舍都化作成全。,1180,44,78,420,820,0,1,8,26,420,870,0,18
all,杜若蘅,杜若蘅,庶人,,limbo,冷宫北院,冷宫,21,清流寒门女,寡言清醒,昔年也曾得宠，如今被废入冷宫，只剩一身清明和旧账。,22,8,34,57,68,0,0,41,67,63,74,0,35
all,崔莺莺,崔莺莺,庶人,,limbo,冷宫西偏院,冷宫,23,罪臣家眷,偏执刚烈,一朝失势后再不肯低头，眼底只剩被废前后的因果。,14,0,16,48,62,0,0,53,79,66,58,0,22
all,冯妙莲,冯妙莲,嫔,悼嫔,deceased,旧居披香殿,已逝,20,太医院世家女,温柔敏慧,谥号仍在，旧居亦在，宫里关于她的旧事却始终没有真正散尽。,58,46,60,0,85,0,0,37,0,48,86,0,44
