id,group,routeId,locationId,actorKey,actionId,variant,order,speakerIdentity,speakerName,portraitKey,portraitPlacement,narrationName,text,sceneHint,notes
"opening.yingluoyeting.turn1","opening","yingluoyeting","","jiaojiao","opening-guide","turn1","1","场景旁白","掖庭院","","","掖庭院","掖庭掌事把名册合上时，屋中只剩纸页摩擦的轻响。\n“{{playerClanLabel}}，字写得不错，规矩也还算稳。”\n她没有抬眼，只把一卷旧册推到你面前。\n“内廷缺人整理旧档，原本轮不到你。可你既识字，又是罪臣之后，若真出了差错，也没人替你说话。”\n这话说得难听，却也是机会。\n你接过旧册，指尖触到封皮上陈旧的灰。\n三日后，你免了最粗重的杂役，被拨去内廷听用。\n那时你仍不是小主，只是一个能抄字、能听差、也更容易被看住的罪臣女眷。\n真正改命的，是一份宫宴前夜的祝词。\n原稿堆在案角，辞藻浮艳，错漏处却无人肯担。你借着誊抄，把它改得清稳合礼，又故意留下一个不显眼的笔锋：不冒进，不邀功，却足够让看惯奉承的人多停一眼。","","影落掖庭特殊开场"
"opening.yingluoyeting.turn2","opening","yingluoyeting","","jiaojiao","opening-guide","turn2","2","场景旁白","御前殿外","","","御前殿外","那份祝词随待呈文书送到御前。\n容安看过后，叫人把改稿的宫人带到殿外问话。\n你隔着屏风行礼，只说自己是内廷听用宫人。皇帝问礼制，你答礼制；问曲名，你答曲名；问为何改那两处错漏，你只说：“旧词不合宫宴礼数，奴婢不敢照错誊上。”\n你没有提{{playerSurname}}家，也没有喊冤。你要的不是怜悯，而是让他知道：掖庭里有一个懂规矩、识字、能办事的人。\n问话之后，内侍按例去查你的名籍，才发现你是{{playerClanLabel}}旧案余眷。\n于是他只给了你一个最低的位号，把你放进后妃册最末。","","影落掖庭特殊开场"
"opening.yingluoyeting.turn3","opening","yingluoyeting","","jiaojiao","opening-guide","turn3","3","掖庭引路宫女","{{npcName}}","jiaojiao","stage","后宫宫道","娇娇也是那日被拨到你身边的。出掖庭门时，她替你抱着旧匣，小声提醒：“小主，往后人前说话，要比从前更慢些。您如今有了位号，旁人也就有了挑错的由头。”她没有带你回掖庭旧屋，而是领着你往后宫去。新拨下来的住处在{{initialResidence}}，地方偏些，却到底是后妃名册里的寝居。","","影落掖庭特殊开场"
"opening.yingluoyeting.turn4","opening","yingluoyeting","","jiaojiao","opening-guide","turn4","4","场景旁白","后宫宫道","","","后宫宫道","回忆像灯花一样轻轻爆开，又很快落回眼前。\n你已不再住掖庭边院。娇娇带你穿过后宫宫道，往{{initialResidence}}去。偏殿门楣不高，院中陈设也算不得体面，可从今日起，你有了可以安排的时辰、可以积攒的声望，也有了能一步步往上走的名分。","","影落掖庭特殊开场"
"opening.yingluoyeting.choice","opening","yingluoyeting","","jiaojiao","opening-guide","choice","5","掖庭引路宫女","{{npcName}}","jiaojiao","stage","后宫宫道","娇娇扶着木匣，脚步在后宫宫道边停了停。\n“小主，进{{initialResidence}}前，奴婢先把用度说清。往后是省着过、稳着过，还是先撑住体面，都得您自己拿主意。”","","影落掖庭起手选择"
"opening.default.turn1","opening","","","jiaojiao","opening-guide","turn1","1","{{speakerIdentity}}","{{npcName}}","jiaojiao","stage","{{residenceName}}","{{playerTitle}}，奴婢{{npcName}}先陪您把眼下局面捋清。{{routeSummary}}{{routePressure}}右上角记着时辰、银两与体力，往后每做一件事，都得先看分寸与余力。","","默认路线开场"
"opening.default.turn2","opening","","","jiaojiao","opening-guide","turn2","2","{{speakerIdentity}}","{{npcName}}","jiaojiao","stage","{{residenceName}}","待会儿奴婢先陪您认一认宫里的大地图。{{mapFeatureSummary}}认过这些地方，再回{{residenceName}}安排行程，您之后要走哪一步，心里才不至于乱。","","默认路线开场"
"opening.default.choice","opening","","","jiaojiao","opening-guide","choice","3","{{speakerIdentity}}","{{npcName}}","jiaojiao","stage","{{residenceName}}","{{playerTitle}}，如今最要紧的不是多走一步，而是先定起手章法。{{choiceFocus}}您先拿个主意，后头奴婢也好照着替您铺路。","","默认路线起手选择"
"opening.expense.explanation","opening","","","jiaojiao","expense","explanation","10","贴身宫女","娇娇","jiaojiao","stage","{{residenceName}}","主子，这三档说的是每月固定用度，不是一次性的赏赐。你现在选下，只是定本月按什么章法花银子。\n<<PAGE_BREAK>>\n节衣缩食：每月用月俸四分之一。好处是省银两；代价是起居和体面受损，声望-5，健康-1。\n<<PAGE_BREAK>>\n量入为出：每月用月俸一半。它最稳妥，不额外增减声望和健康。\n<<PAGE_BREAK>>\n锦衣玉食：每月用月俸四分之三。花费重些，但能撑住体面与起居，声望+10，健康+1。","","用度选项解释"
"chamber.intro.bedchamber","opening","","","jiaojiao","bedchamber-intro","","11","贴身宫女","娇娇","jiaojiao","stage","{{residenceName}}","主子，咱们已回到{{residenceName}}。接下来您可以安排学习、休养，也可外出继续探看宫中各处。","","首次回到寝殿提示"
