id,group,routeId,locationId,actorKey,actionId,variant,order,speakerIdentity,speakerName,portraitKey,portraitPlacement,narrationName,text,sceneHint,notes
"location.action.kitchen.stroll","location-action","","御膳房","","stroll","","1","场景旁白","御膳房","","","御膳房","御膳房里灶火正旺，蒸汽贴着梁柱往上走。你沿着食案与炊烟慢慢转过一圈，只听锅勺声把闲话都盖得半真半假。{{resultText}}","","地点行动"
"location.action.kitchen.buy","location-action","","御膳房","","buy","","2","场景旁白","御膳房","","","御膳房","掌膳宫人把食盒推到案边，热食香气一层层散开。银钱过手之后，食单上的名字也被仔细记下。{{resultText}}","","地点行动"
"location.action.kitchen.meet","location-action","","御膳房","","meet","","3","场景旁白","御膳房","","","御膳房","灶间热气里有人抬头望来，那一点生活气比宫墙外的风还鲜明。{{resultText}}","","地点行动"
"location.action.tai-hospital.stroll","location-action","","太医院","","stroll","","4","场景旁白","太医院","","","太医院","太医院药柜沉沉，脉案旁的铜炉吐着细烟。你放轻脚步穿过药廊，只让药香先替你探一探今日的风声。{{resultText}}","","地点行动"
"location.action.tai-hospital.consultation","location-action","","太医院","","consultation","","5","场景旁白","太医院","","","太医院","脉案前的医官低声论证，药方在纸上添删数回。你按下性子旁听，不越医者本分，只把药理脉络慢慢记牢。{{resultText}}","","地点行动"
"location.action.tai-hospital.meet","location-action","","太医院","","meet","","6","场景旁白","太医院","","","太医院","药帘轻动，简宁从脉案后抬眼。他仍旧把分寸守得清楚，先问病症，再看人心。{{resultText}}","","地点行动"
"location.action.miaoyin-hall.listen","location-action","","妙音堂","","listen","","7","场景旁白","妙音堂","","","妙音堂","妙音堂里丝竹初歇，余音却还停在帘影之间。你没有急着开口，只借这一曲把心绪一点点放平。{{resultText}}","","地点行动"
"location.action.miaoyin-hall.stroll","location-action","","妙音堂","","stroll","","8","场景旁白","妙音堂","","","妙音堂","曲廊转角处仍有余音未散，宫人抱着谱册来去。你缓步穿过帘下，像是在听曲，也像是在等谁回头。{{resultText}}","","地点行动"
"location.action.miaoyin-hall.sign-up","location-action","","妙音堂","","sign-up","","9","场景旁白","妙音堂","","","妙音堂","妙音堂的报名册摊在案上，司乐女官逐字核过曲名。你递上曲谱，只让乐理与分寸先替自己说话。{{resultText}}","","地点行动"
"location.action.miaoyin-hall.practice","location-action","","妙音堂","","practice","","10","场景旁白","妙音堂","","","妙音堂","连翘把谱页压在琴案边，逐句替你拆开转调与气口。你按她所说反复试了几遍，才让曲意慢慢落稳。{{resultText}}","","地点行动"
"location.action.miaoyin-hall.meet","location-action","","妙音堂","","meet","","11","场景旁白","妙音堂","","","妙音堂","半幅珠帘后有琴声收住，连翘抬眸时并不急着多言，只把余音留给你慢慢接住。{{resultText}}","","地点行动"
"location.action.baohua-hall.worship","location-action","","宝华殿","","worship","","12","场景旁白","宝华殿","","","宝华殿","宝华殿香火极静，钟磬声落下后，连衣袖擦过蒲团都显得清楚。你俯身礼佛，把心事暂且压在香烟之后。{{resultText}}","","地点行动"
"location.action.baohua-hall.pray","location-action","","宝华殿","","pray","","13","场景旁白","宝华殿","","","宝华殿","供灯一盏盏亮着，香火绕过佛前。你合掌祈福，只求这一念能落在该落的因果里。{{resultText}}","","地点行动"
"location.action.baohua-hall.stroll","location-action","","宝华殿","","stroll","","14","场景旁白","宝华殿","","","宝华殿","宝华殿回廊清冷，香灰落在铜炉边。你绕过供灯慢行，像是在避开俗声，也像是在看谁把心事带到了佛前。{{resultText}}","","地点行动"
"location.action.baohua-hall.meet","location-action","","宝华殿","","meet","","15","场景旁白","宝华殿","","","宝华殿","供灯后有人静立，当一垂眼收住佛珠，话未出口，戒律与慈悲已经先横在中间。{{resultText}}","","地点行动"
"location.action.imperial-garden.garden-stroll","location-action","","御花园","","garden-stroll","","16","场景旁白","御花园","","","御花园","御花园里花木错落，石径被枝影切成明暗数段。你沿着水边慢慢走过，听见远处宫人压低声音行礼。{{resultText}}","","地点行动"
"location.action.imperial-garden.listen-rumors","location-action","","御花园","","listen-rumors","","17","场景旁白","御花园","","","御花园","花墙后有几句闲话被风带过来，你没有急着现身，只把其中轻重慢慢记下。{{resultText}}","","地点行动"
"location.action.zhengyang-gate.watch-court-road","location-action","","正阳门","","watch-court-road","","18","场景旁白","正阳门","","","正阳门","正阳门前宫禁森严，内侍与侍卫各守其位。你在门侧站了片刻，看着朝路上的仪仗一重重经过。{{resultText}}","","地点行动"
"location.action.chonghua-palace.read-lessons","location-action","","重华宫","","read-lessons","","19","场景旁白","重华宫","","","重华宫","重华宫里暂未开课，案上旧册却仍按经义与礼法分门别类收着。你翻过几页，听见窗外风声掠过空阶。{{resultText}}","","地点行动"
"location.action.yangxin-hall.copy-notes","location-action","","养心殿","","copy-notes","","20","场景旁白","养心殿","","","养心殿","养心殿外书气沉沉，能递到你手边的只是旧札边角。你按规矩抄读，不越雷池，只从字缝里看章法。{{resultText}}","","地点行动"
"location.action.cold-palace.search-old-traces","location-action","","冷宫","","search-old-traces","","21","场景旁白","冷宫","","","冷宫","冷宫风冷，旧窗纸破处透着灰白天光。你沿墙根慢慢查过，像是在找一段无人肯提的旧声。{{resultText}}","","地点行动"
"location.action.yangxin-hall.wait-at-steps","location-action","","养心殿","","wait-at-steps","","22","场景旁白","养心殿","","","养心殿","养心殿阶前内侍来去极轻，连通传声都被压在规矩里。你在殿外等了一回，把御前进退重新在心里过了一遍。{{resultText}}","","地点行动"
"location.action.default","location-action","","{{locationId}}","","default","","99","场景旁白","{{actionLabel}}","","","{{locationId}}","{{actionLabel}}之后，场中声息慢慢落定。{{resultText}}","","地点行动默认"
"location.ambient.baohua-hall.worship.0","location-ambient","","宝华殿","","worship","0","101","场景旁白","宝华殿","","","宝华殿","你在香烟与木鱼声里合掌行礼，殿中梵音低回，心绪也跟着沉静了几分。","","宝华殿环境文本"
"location.ambient.baohua-hall.worship.1","location-ambient","","宝华殿","","worship","1","102","场景旁白","宝华殿","","","宝华殿","佛前金灯微晃，你依礼叩拜一回，只觉殿内檀香温缓，连呼吸都慢了下来。","","宝华殿环境文本"
"location.ambient.baohua-hall.worship.2","location-ambient","","宝华殿","","worship","2","103","场景旁白","宝华殿","","","宝华殿","你在蒲团前俯身礼佛，四下钟磬余音未散，原先浮在心头的杂念也被压住些许。","","宝华殿环境文本"
"location.ambient.baohua-hall.pray.0","location-ambient","","宝华殿","","pray","0","104","场景旁白","宝华殿","","","宝华殿","你在佛前低声祈福，香灰缓缓坠下，像是连愿心都被这片静气托稳了。","","宝华殿环境文本"
"location.ambient.baohua-hall.pray.1","location-ambient","","宝华殿","","pray","1","105","场景旁白","宝华殿","","","宝华殿","你将心愿压在掌心里默默祝祷，殿中灯火不言，只把一层安定轻轻覆在心上。","","宝华殿环境文本"
